2025-10-26 01:23:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 21974s, Memory: 94.79/135.00MB, CPU Cores: 8, Requests: 0, Connections: 28
2025-10-26 01:24:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 22034s, Memory: 94.94/135.00MB, CPU Cores: 8, Requests: 0, Connections: 8
2025-10-26 01:25:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 22094s, Memory: 94.98/135.00MB, CPU Cores: 8, Requests: 0, Connections: 43
2025-10-26 01:26:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 22154s, Memory: 96.75/135.00MB, CPU Cores: 8, Requests: 0, Connections: 44
2025-10-26 01:27:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 22214s, Memory: 98.07/135.00MB, CPU Cores: 8, Requests: 0, Connections: 8
2025-10-26 01:28:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 22274s, Memory: 98.13/135.00MB, CPU Cores: 8, Requests: 0, Connections: 49
2025-10-26 01:29:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 22334s, Memory: 98.17/135.00MB, CPU Cores: 8, Requests: 0, Connections: 8
2025-10-26 01:30:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 22394s, Memory: 98.32/135.00MB, CPU Cores: 8, Requests: 0, Connections: 17
2025-10-26 01:31:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 22454s, Memory: 98.43/135.00MB, CPU Cores: 8, Requests: 0, Connections: 30
2025-10-26 01:32:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 22514s, Memory: 98.43/135.00MB, CPU Cores: 8, Requests: 0, Connections: 9
2025-10-26 01:33:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 22574s, Memory: 98.56/135.00MB, CPU Cores: 8, Requests: 0, Connections: 48
2025-10-26 01:34:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 22634s, Memory: 98.56/135.00MB, CPU Cores: 8, Requests: 0, Connections: 22
2025-10-26 01:35:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 22694s, Memory: 98.62/135.00MB, CPU Cores: 8, Requests: 0, Connections: 24
2025-10-26 01:36:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 22754s, Memory: 98.70/135.00MB, CPU Cores: 8, Requests: 0, Connections: 25
2025-10-26 01:37:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 22814s, Memory: 98.87/135.00MB, CPU Cores: 8, Requests: 0, Connections: 17
2025-10-26 01:38:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 22874s, Memory: 98.95/135.00MB, CPU Cores: 8, Requests: 0, Connections: 8
2025-10-26 01:39:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 22934s, Memory: 98.98/135.00MB, CPU Cores: 8, Requests: 0, Connections: 14
2025-10-26 01:40:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 22994s, Memory: 99.05/135.00MB, CPU Cores: 8, Requests: 0, Connections: 7
2025-10-26 01:41:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 23054s, Memory: 99.09/135.00MB, CPU Cores: 8, Requests: 0, Connections: 30
2025-10-26 01:42:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 23114s, Memory: 99.17/135.00MB, CPU Cores: 8, Requests: 0, Connections: 24
2025-10-26 01:43:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 23174s, Memory: 99.29/135.00MB, CPU Cores: 8, Requests: 0, Connections: 25
2025-10-26 01:44:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 23234s, Memory: 99.31/135.00MB, CPU Cores: 8, Requests: 0, Connections: 23
2025-10-26 01:45:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 23294s, Memory: 99.44/135.00MB, CPU Cores: 8, Requests: 0, Connections: 32
2025-10-26 01:46:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 23354s, Memory: 99.52/135.00MB, CPU Cores: 8, Requests: 0, Connections: 14
2025-10-26 01:47:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 23414s, Memory: 99.56/135.00MB, CPU Cores: 8, Requests: 0, Connections: 9
2025-10-26 01:48:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 23474s, Memory: 99.64/135.00MB, CPU Cores: 8, Requests: 0, Connections: 40
2025-10-26 01:49:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 23534s, Memory: 99.69/135.00MB, CPU Cores: 8, Requests: 0, Connections: 22
2025-10-26 01:50:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 23594s, Memory: 99.82/135.00MB, CPU Cores: 8, Requests: 0, Connections: 40
2025-10-26 01:51:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 23654s, Memory: 99.84/135.00MB, CPU Cores: 8, Requests: 0, Connections: 9
2025-10-26 01:52:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 23714s, Memory: 99.91/135.00MB, CPU Cores: 8, Requests: 0, Connections: 44
2025-10-26 01:53:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 23774s, Memory: 100.00/135.00MB, CPU Cores: 8, Requests: 0, Connections: 21
2025-10-26 01:54:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 23834s, Memory: 100.11/135.00MB, CPU Cores: 8, Requests: 0, Connections: 34
2025-10-26 01:55:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 23894s, Memory: 100.56/135.00MB, CPU Cores: 8, Requests: 0, Connections: 13
2025-10-26 01:56:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 23954s, Memory: 103.24/135.00MB, CPU Cores: 8, Requests: 0, Connections: 7
2025-10-26 01:57:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 24014s, Memory: 103.55/135.00MB, CPU Cores: 8, Requests: 0, Connections: 32
2025-10-26 01:58:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 24074s, Memory: 103.55/135.00MB, CPU Cores: 8, Requests: 0, Connections: 20
2025-10-26 01:59:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 24134s, Memory: 103.64/135.00MB, CPU Cores: 8, Requests: 0, Connections: 12
2025-10-26 02:00:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 24194s, Memory: 103.71/135.00MB, CPU Cores: 8, Requests: 0, Connections: 16
2025-10-26 02:01:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 24254s, Memory: 103.82/135.00MB, CPU Cores: 8, Requests: 0, Connections: 21
2025-10-26 02:02:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 24314s, Memory: 103.93/135.00MB, CPU Cores: 8, Requests: 0, Connections: 29
2025-10-26 02:03:43 [scheduling-1] INFO  c.u.s.service.MonitoringService - System Status - Uptime: 24374s, Memory: 104.02/135.00MB, CPU Cores: 8, Requests: 0, Connections: 10
